group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,"Pink, red, blue or purple flowers",270,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves whorled,272,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Leaves in pairs,274,0
543,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,Yellow flowers,278,0
543,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow,,,Leaves deeply cut or lobed (halfway or more into the leaf),280,0
543,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves toothed or shallowly lobed,,Flowers in slender spikes or racemes,282,0
543,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves toothed or shallowly lobed,,Flowers growing in the axils,282,0
543,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves toothed or shallowly lobed,,Flowers in heads or in 1 or more small clusters,284,0
544,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,,,,Yellow flowers,286,0
544,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,Flowers not yellow,,,"Individual flowers under 1/4"" wide",286,0
544,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Divided,Flowers not yellow,,,"Flowers 1/2"" or more wide",288,0
551,5 Regular Parts,Shrubs,No Apparent Leaves,,,,With no apparent leaves,290,0
552,5 Regular Parts,Shrubs,Leaves Entire,"Leaves evergreen, stiff and leathery",,,"Leaves under 1"" long",290,0
552,5 Regular Parts,Shrubs,Leaves Entire,"Leaves evergreen, stiff and leathery",,,"Leaves 1"" or more long",292,0
552,5 Regular Parts,Shrubs,Leaves Entire,Leaves not evergreen,,,Leaves growing in pairs or 3's,294,0
552,5 Regular Parts,Shrubs,Leaves Entire,Leaves not evergreen,Leaves alternate or clustered at the ends of the branches,,"Flowers bell- or globe-shaped, 1/8-1/2"" long",296,0
552,5 Regular Parts,Shrubs,Leaves Entire,Leaves not evergreen,Leaves alternate or clustered at the ends of the branches,,Flowers not bell- or globe-shaped,300,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,"Leaves opposite, obviously growing in pairs",,,White flowers in broad branching clusters,302,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,"Leaves opposite, obviously growing in pairs",,,"Yellow, greenish or purplish flowers",304,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves with 3-7 lobes,,"Flowers small and inconspicuous, growing in the axils",306,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves with 3-7 lobes,,"Showy, white or rose-purple flowers",308,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves unlobed,,Flowers bell- or funnel-shaped,308,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves unlobed,,"Greenish-white or greenish flowers, growing in the axils",310,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves unlobed,,Blooming mid-June to fall,310,0
553,5 Regular Parts,Shrubs,Leaves Toothed or Lobed,Leaves alternate or clustered,Leaves unlobed,,Blooming in spring,312,0
554,5 Regular Parts,Shrubs,Leaves Divided,,,,"Flowers 1/2"" or more wide",316,0
554,5 Regular Parts,Shrubs,Leaves Divided,"Flowers under 1/2"" wide",,,Leaflets 3,318,0
554,5 Regular Parts,Shrubs,Leaves Divided,"Flowers under 1/2"" wide",Leaflets 5 or more,,Stems not prickly,320,0
554,5 Regular Parts,Shrubs,Leaves Divided,"Flowers under 1/2"" wide",Leaflets 5 or more,,Stems prickly,322,0
561,5 Regular Parts,Vines,No Apparent Leaves,,,,With no apparent leaves,322,0
562,5 Regular Parts,Vines,Leaves Entire,,,,Leaves heart- or arrow-shaped at the base,322,0
562,5 Regular Parts,Vines,Leaves Entire,,,,Leaves not heart- or arrow-shaped,326,0
563,5 Regular Parts,Vines,Leaves Toothed or Lobed,,,,Vines without tendrils,326,0
563,5 Regular Parts,Vines,Leaves Toothed or Lobed,,,,Vines clinging by tendrils,328,0
564,5 Regular Parts,Vines,Leaves Divided,,,,Flowers not white or green,328,0
564,5 Regular Parts,Vines,Leaves Divided,,,,White or green flowers,330,0
611,6 Regular Parts,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,332,0
622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves narrow,,,Blue or violet flowers,332,0
622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves narrow,,,"White, pink or greenish flowers",334,0
622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves narrow,,,"Orange, yellow or greenish-yellow flowers",336,0
622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves lance-shaped or wider,,,Flowers in a spike or raceme,336,0
622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves lance-shaped or wider,,,Flowers single or in a small cluster,338,0
623-624,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,"Leaves toothed, lobed or divided",338,0
632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Nodding, bell-shaped flowers",340,0
632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in racemes, spikes or widely branched clusters",,,Larger leaves long and narrow,344,0
632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in racemes, spikes or widely branched clusters",,,Larger leaves lance-shaped or wider,346,0
632,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,"Flowers solitary, or in umbels or small clusters, not bell-shaped",348,0
633,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,,,,Leaves toothed or lobed,350,0
634,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,,,,Leaves divided,351,0
642,6 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Flowers white or purple,351,0
642,6 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,,,,Flowers neither white nor purple,352,0
643-644,6 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,,,,"Leaves toothed, lobed or divided",354,0
651-653,6 Regular Parts,Shrubs,No Apparent Leaves,,,,Shrubs,354,0
662-663,6 Regular Parts,Vines,Leaves Entire,,,,Vines,356,0
711,7 or More Regular Parts,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,358,0
