newcomb_species_name,species_page,species_inat,subspecies_inat,suggested_species_id,species_inat_link,subspecies_inat_link,multiple_species,multiple_subspecies,warning_species_extraction
Cacalia atriplicifolia,420.0,Arnoglossum atriplicifolium,,Arnoglossum atriplicifolium,https://www.inaturalist.org/taxa/146715,,0.0,0.0,0.0
Cacalia muhlenbergii,420.0,Arnoglossum reniforme,,Arnoglossum reniforme,https://www.inaturalist.org/taxa/359187,,0.0,0.0,0.0
Cacalia suaveolens,420.0,Hasteola suaveolens,,Hasteola suaveolens,https://www.inaturalist.org/taxa/157470,,0.0,0.0,0.0
Cacalia tuberosa,414.0,Arnoglossum plantagineum,,Arnoglossum plantagineum,https://www.inaturalist.org/taxa/128934,,0.0,0.0,0.0
Calopogon pulchellus,20.0,Calopogon tuberosus,var.tuberosus,Calopogon tuberosus,https://www.inaturalist.org/taxa/82578,https://www.inaturalist.org/taxa/239719,0.0,0.0,0.0
Campanula americana,216.0,Campanulastrum americanum,,Campanulastrum americanum,https://www.inaturalist.org/taxa/159769,,0.0,0.0,0.0
Campanula aparinoides,212.0,Campanula aparinoides,,Palustricodon aparinoides,https://www.inaturalist.org/taxa/1449995,,0.0,0.0,0.0
Campanula rotundifolia,196.0,Campanula rotundifolia,,Campanula rotundifolia,,,1.0,0.0,0.0
Campanula rotundifolia,196.0,Campanula rotundifolia,,Campanula rotundifolia,https://www.inaturalist.org/taxa/984576,https://www.inaturalist.org/taxa/984576,1.0,0.0,0.0
Cardamine pratensis,148.0,Cardamine polemonioides,,,,,0.0,0.0,0.0
Cardamine pratensis,148.0,Cardamine pratensis,ssp. paludosa,,https://www.inaturalist.org/taxa/515428-Cardamine-pratensis-paludosa,,,,
Cardamine pratensis,148.0,Cardamine pratensis,ssp. pratensis,ssp. paludosa,https://www.inaturalist.org/taxa/54531,,0.0,0.0,0.0
Cassia fasciculata,236.0,Chamaecrista fasciculata,,Chamaecrista fasciculata,https://www.inaturalist.org/taxa/127907,,0.0,0.0,0.0
Cassia hebecarpa,236.0,Senna hebecarpa,,Senna hebecarpa,https://www.inaturalist.org/taxa/136373,,0.0,0.0,0.0
Cassia marilandica,236.0,Senna marilandica,,Senna marilandica,https://www.inaturalist.org/taxa/79061,,0.0,0.0,0.0
Cassia nictitans,236.0,Chamaecrista nictitans,,Chamaecrista nictitans,https://www.inaturalist.org/taxa/131568,,1.0,0.0,0.0
Cassia nictitans,236.0,ssp. nictitans,,Chamaecrista nictitans,https://www.inaturalist.org/taxa/235040,https://www.inaturalist.org/taxa/235040,1.0,0.0,0.0
